"X1","X2","X3","X4","X5","X6","X7","X8"
3,2,3,100,0.0700352422697588,0.0255932926698286,0.159979038220101,0.7085824922899
3,2,7,20,0.362217416836884,0.0405031068354631,0.201253836821719,0.695558770308707
3,2,7,100,NA,NA,NA,NA
7,0,0,20,0.363770395824743,0.0358870413378225,0.189438753526892,0.677894073398302
7,0,0,100,0.260568914997107,0.0176887663197007,0.132999121499733,0.679455535698722
7,0,1,20,0.254580141308679,0.0327040865436386,0.180842712166232,0.683350623996018
7,0,1,100,0.23486529015495,0.0149379559943552,0.122220931081199,0.680789881490641
7,0,3,20,1.1037415928788,0.0725000786273394,0.269258386363989,0.699307041733622
7,0,3,100,0.391344905720303,0.0347535762114774,0.186423110722564,0.706710856152134
7,0,7,20,0.0857861294882426,0.0284656198424359,0.168717574195565,0.738598700831541
7,0,7,100,0.00998053602039425,0.00567057561226993,0.075303224448027,0.722023658161721
7,1,0,20,0.102854754933442,0.134753669141864,0.367088094524822,0.879760962657414
7,1,0,100,0.327590919426168,0.160873584517829,0.401090494175353,0.920144486964706
7,1,1,20,0.363838237103745,0.0358214976277931,0.189265680005101,0.678156672184919
7,1,1,100,0.260976121064312,0.0177115779613976,0.133084852486666,0.679697121371095
7,1,3,20,0.263409915793573,0.0340944365943129,0.184646788746279,0.683126339377289
7,1,3,100,0.237250180469354,0.0150759730125257,0.122784253927471,0.682188069614401
7,1,7,20,0.498575084052527,0.0417336613284522,0.20428818205773,0.750561598065542
7,1,7,100,0.305007056943989,0.0318597780096595,0.178493075523,0.714124520494211
7,2,0,20,NA,NA,NA,NA
7,2,0,100,NA,NA,NA,NA
7,2,1,20,0.105117577121921,0.1359680754924,0.368738492013514,0.881844652522059
7,2,1,100,0.317240098370404,0.168393518806585,0.410357793646697,0.929662793463951
7,2,3,20,0.0820127945406461,0.0294558344003325,0.171627021183532,0.701572607223445
7,2,3,100,0.0546165054894723,0.0144602715165173,0.120250869088408,0.693692679017347
7,2,7,20,NA,NA,NA,NA
7,2,7,100,NA,NA,NA,NA
