"X1","X2","X3","X4","X5","X6","X7","X8"
0,0,0,20,0.375398647635858,0.0388389791321845,0.197076074479335,0.66999214124464
0,0,0,100,0.251499378549783,0.0181328071789964,0.134658112191566,0.675543726390212
0,0,1,20,0.379724266227068,0.0382940333221654,0.195688613164296,0.668915243582027
0,0,1,100,0.256082120069009,0.0178334821267587,0.133542061264452,0.676728197079516
0,0,3,20,0.381199209122408,0.0384020125333599,0.195964314438522,0.66866968596426
0,0,3,100,0.257494906207254,0.0179938079766946,0.134141000356694,0.676922517876518
0,0,7,20,0.380481753422223,0.0367713880939821,0.191758671496186,0.6765943422584
0,0,7,100,0.261424062959147,0.0180722655009245,0.134433126501337,0.678245727479039
0,1,0,20,NA,NA,NA,NA
0,1,0,100,NA,NA,NA,NA
0,1,1,20,0.375399839286637,0.0389382376721253,0.197327741770196,0.670842628933602
0,1,1,100,0.251499841862276,0.0181124003933774,0.134582318279101,0.675550230389138
0,1,3,20,0.382353775796802,0.0386652823019204,0.19663489594149,0.66825537089083
0,1,3,100,0.258568113925879,0.017941171041204,0.133944656635508,0.677128215301968
0,1,7,20,0.386625047788437,0.0377955986189371,0.194410901492013,0.672535740116741
0,1,7,100,0.2623071821681,0.0181085690802865,0.134568083438409,0.677834432158501
0,2,0,20,NA,NA,NA,NA
0,2,0,100,NA,NA,NA,NA
0,2,1,20,NA,NA,NA,NA
0,2,1,100,NA,NA,NA,NA
0,2,3,20,0.0142889162261969,0.0424162912370916,0.205952157641263,0.705411672007718
0,2,3,100,0.0699769703911038,0.0109201174959117,0.104499366007223,0.694713098073847
0,2,7,20,0.11023243063199,0.0406625090578993,0.201649470760276,0.718976335931539
0,2,7,100,0.256186169976864,0.0341790150399926,0.184875674549121,0.728160132748981
1,0,0,20,0.380225189334436,0.038257575040921,0.195595437167949,0.668865492296389
1,0,0,100,0.25658603156525,0.0178082066126719,0.133447392678433,0.676904776062332
1,0,1,20,0.302773365777389,0.0364844811023576,0.191009112616015,0.669370039467505
1,0,1,100,0.244834695856035,0.0166056112142249,0.128862761161729,0.67782024205482
